id,name
8600e263-dffc-4e91-9113-50403f52f207,Tecnología en Desarrollo de Software
80370f8b-08bd-4397-af05-a0077567dd1e,Tecnología en Gestión de Mercadeo
c4311891-2b3a-4e9c-a8f4-2c5c7ae0c0fa,Arquitectura
923b11bf-0b33-42c2-86dc-de26091be971,Diseño Industrial
649ca6da-e98d-4d6e-a452-afd59b289cdf,Psicologia
1bc5f154-cced-4d64-a6be-9971256eb4f7,Periodismo
25d061c2-2882-4c58-bd69-efb74f8ad650,Licenciatura Religiosa
75a7676d-354e-4351-b3fc-6ee8e8195156,Ingenieria en Telecomunicaciones
b057e4e9-cc05-4ce1-8378-3d495c1e0ee4,Ingenieria Industrial
f16fedec-0a6f-4ccb-99a6-9e32bbf7e49e,Administracion de empresas
7328cb29-7a7d-469c-bdf8-d057c91aa876,Negocios Internacionales
478ffab3-0d38-4f87-983c-f92fa86c19a3,Mercadeo
c61112a2-f21d-4e97-acd2-c155368879b5,Tecnologia en Mercado
